Severity,WCAG Rule,Category,WCAG Criterion,Element,Message,Snippet
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.25:1 (need 4.5:1) — rgb(173,80,0) on rgb(196,93,0)","Rare"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.00:1 (need 4.5:1) — rgb(155,89,182) on rgb(155,89,182)","Inferred"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > div","Contrast ratio 1.07:1 (need 4.5:1) — rgb(117,117,120) on rgb(196,93,0)","VP, Global Strategy, GM CAB & Futurist · Co-Founder/Chief Pi"
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 3.94:1 (need 4.5:1) — rgb(29,29,31) on rgb(196,93,0)","Judgment and Decision Making"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.25:1 (need 4.5:1) — rgb(173,80,0) on rgb(196,93,0)","★"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.09:1 (need 4.5:1) — rgb(155,89,182) on rgb(196,93,0)","✨"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.25:1 (need 4.5:1) — rgb(173,80,0) on rgb(196,93,0)","Expert"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.25:1 (need 4.5:1) — rgb(173,80,0) on rgb(196,93,0)","Rare"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.00:1 (need 4.5:1) — rgb(155,89,182) on rgb(155,89,182)","Inferred"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > div","Contrast ratio 1.07:1 (need 4.5:1) — rgb(117,117,120) on rgb(196,93,0)","VP, Global Strategy, GM CAB & Futurist · Co-Founder/Chief Pi"
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 3.94:1 (need 4.5:1) — rgb(29,29,31) on rgb(196,93,0)","Leadership"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.25:1 (need 4.5:1) — rgb(173,80,0) on rgb(196,93,0)","★"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.09:1 (need 4.5:1) — rgb(155,89,182) on rgb(196,93,0)","✨"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.25:1 (need 4.5:1) — rgb(173,80,0) on rgb(196,93,0)","Expert"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.25:1 (need 4.5:1) — rgb(173,80,0) on rgb(196,93,0)","Rare"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.00:1 (need 4.5:1) — rgb(155,89,182) on rgb(155,89,182)","Inferred"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > div","Contrast ratio 1.07:1 (need 4.5:1) — rgb(117,117,120) on rgb(196,93,0)","VP, Global Strategy, GM CAB & Futurist · Co-Founder/Chief Pi"
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 3.94:1 (need 4.5:1) — rgb(29,29,31) on rgb(196,93,0)","Systems Evaluation"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.25:1 (need 4.5:1) — rgb(173,80,0) on rgb(196,93,0)","★"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.09:1 (need 4.5:1) — rgb(155,89,182) on rgb(196,93,0)","✨"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.25:1 (need 4.5:1) — rgb(173,80,0) on rgb(196,93,0)","Expert"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.25:1 (need 4.5:1) — rgb(173,80,0) on rgb(196,93,0)","Rare"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.00:1 (need 4.5:1) — rgb(155,89,182) on rgb(155,89,182)","Inferred"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > div","Contrast ratio 1.07:1 (need 4.5:1) — rgb(117,117,120) on rgb(196,93,0)","VP, Global Strategy, GM CAB & Futurist · Vice President, Glo"
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 3.94:1 (need 4.5:1) — rgb(29,29,31) on rgb(196,93,0)","Thought Leadership"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.25:1 (need 4.5:1) — rgb(173,80,0) on rgb(196,93,0)","★"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.09:1 (need 4.5:1) — rgb(155,89,182) on rgb(196,93,0)","✨"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.25:1 (need 4.5:1) — rgb(173,80,0) on rgb(196,93,0)","Expert"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.25:1 (need 4.5:1) — rgb(173,80,0) on rgb(196,93,0)","Rare"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.00:1 (need 4.5:1) — rgb(155,89,182) on rgb(155,89,182)","Inferred"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > div","Contrast ratio 1.07:1 (need 4.5:1) — rgb(117,117,120) on rgb(196,93,0)","VP, Global Strategy, GM CAB & Futurist"
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 3.94:1 (need 4.5:1) — rgb(29,29,31) on rgb(196,93,0)","Negotiation"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.25:1 (need 4.5:1) — rgb(173,80,0) on rgb(196,93,0)","★"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.09:1 (need 4.5:1) — rgb(155,89,182) on rgb(196,93,0)","✨"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.09:1 (need 4.5:1) — rgb(155,89,182) on rgb(196,93,0)","Advanced"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.25:1 (need 4.5:1) — rgb(173,80,0) on rgb(196,93,0)","Rare"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.00:1 (need 4.5:1) — rgb(155,89,182) on rgb(155,89,182)","Inferred"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > div","Contrast ratio 1.07:1 (need 4.5:1) — rgb(117,117,120) on rgb(196,93,0)","VP, Global Strategy, GM CAB & Futurist · Touring/Studio Musi"
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > div","Contrast ratio 3.58:1 (need 4.5:1) — rgb(29,29,31) on rgb(0,113,227)","Uncommon"
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 3.58:1 (need 4.5:1) — rgb(29,29,31) on rgb(0,113,227)","(25)"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > div","Contrast ratio 1.08:1 (need 4.5:1) — rgb(110,110,115) on rgb(0,113,227)","Strong competitive advantages"
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 3.58:1 (need 4.5:1) — rgb(29,29,31) on rgb(0,113,227)","Business Strategy"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.14:1 (need 4.5:1) — rgb(173,80,0) on rgb(0,113,227)","★"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.01:1 (need 4.5:1) — rgb(155,89,182) on rgb(0,113,227)","✨"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.11:1 (need 4.5:1) — rgb(178,80,0) on rgb(0,113,227)","⚠"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.09:1 (need 4.5:1) — rgb(30,126,52) on rgb(0,113,227)","Mastery"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.00:1 (need 4.5:1) — rgb(0,113,227) on rgb(0,113,227)","Uncommon"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.00:1 (need 4.5:1) — rgb(155,89,182) on rgb(155,89,182)","Inferred"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > div","Contrast ratio 1.02:1 (need 4.5:1) — rgb(117,117,120) on rgb(0,113,227)","VP, Global Strategy, GM CAB & Futurist · Vice President, Glo"
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 3.58:1 (need 4.5:1) — rgb(29,29,31) on rgb(0,113,227)","Project Management"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.14:1 (need 4.5:1) — rgb(173,80,0) on rgb(0,113,227)","★"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.11:1 (need 4.5:1) — rgb(178,80,0) on rgb(0,113,227)","⚠"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.09:1 (need 4.5:1) — rgb(30,126,52) on rgb(0,113,227)","Mastery"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.14:1 (need 4.5:1) — rgb(173,80,0) on rgb(0,113,227)","⭐"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.00:1 (need 4.5:1) — rgb(0,113,227) on rgb(0,113,227)","Uncommon"
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 3.58:1 (need 4.5:1) — rgb(29,29,31) on rgb(0,113,227)","Agile"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.14:1 (need 4.5:1) — rgb(173,80,0) on rgb(0,113,227)","★"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.11:1 (need 4.5:1) — rgb(178,80,0) on rgb(0,113,227)","⚠"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.14:1 (need 4.5:1) — rgb(173,80,0) on rgb(0,113,227)","Expert"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.14:1 (need 4.5:1) — rgb(173,80,0) on rgb(0,113,227)","⭐"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.00:1 (need 4.5:1) — rgb(0,113,227) on rgb(0,113,227)","Uncommon"
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 3.58:1 (need 4.5:1) — rgb(29,29,31) on rgb(0,113,227)","Artificial Intelligence (AI)"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.14:1 (need 4.5:1) — rgb(173,80,0) on rgb(0,113,227)","★"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.01:1 (need 4.5:1) — rgb(155,89,182) on rgb(0,113,227)","✨"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.14:1 (need 4.5:1) — rgb(173,80,0) on rgb(0,113,227)","Expert"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.00:1 (need 4.5:1) — rgb(0,113,227) on rgb(0,113,227)","Uncommon"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.00:1 (need 4.5:1) — rgb(155,89,182) on rgb(155,89,182)","Inferred"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > div","Contrast ratio 1.02:1 (need 4.5:1) — rgb(117,117,120) on rgb(0,113,227)","VP, Global Strategy, GM CAB & Futurist · Touring/Studio Musi"
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 3.58:1 (need 4.5:1) — rgb(29,29,31) on rgb(0,113,227)","Board level experience"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.14:1 (need 4.5:1) — rgb(173,80,0) on rgb(0,113,227)","★"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.01:1 (need 4.5:1) — rgb(155,89,182) on rgb(0,113,227)","✨"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.11:1 (need 4.5:1) — rgb(178,80,0) on rgb(0,113,227)","⚠"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.14:1 (need 4.5:1) — rgb(173,80,0) on rgb(0,113,227)","Expert"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.00:1 (need 4.5:1) — rgb(0,113,227) on rgb(0,113,227)","Uncommon"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.00:1 (need 4.5:1) — rgb(155,89,182) on rgb(155,89,182)","Inferred"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > div","Contrast ratio 1.02:1 (need 4.5:1) — rgb(117,117,120) on rgb(0,113,227)","VP, Global Strategy, GM CAB & Futurist · Vice President, Glo"
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 3.58:1 (need 4.5:1) — rgb(29,29,31) on rgb(0,113,227)","Consulting"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.14:1 (need 4.5:1) — rgb(173,80,0) on rgb(0,113,227)","★"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.01:1 (need 4.5:1) — rgb(155,89,182) on rgb(0,113,227)","✨"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.14:1 (need 4.5:1) — rgb(173,80,0) on rgb(0,113,227)","Expert"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.00:1 (need 4.5:1) — rgb(0,113,227) on rgb(0,113,227)","Uncommon"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.00:1 (need 4.5:1) — rgb(155,89,182) on rgb(155,89,182)","Inferred"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > div","Contrast ratio 1.02:1 (need 4.5:1) — rgb(117,117,120) on rgb(0,113,227)","VP, Global Strategy, GM CAB & Futurist"
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 3.58:1 (need 4.5:1) — rgb(29,29,31) on rgb(0,113,227)","Coordination"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.14:1 (need 4.5:1) — rgb(173,80,0) on rgb(0,113,227)","★"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.11:1 (need 4.5:1) — rgb(178,80,0) on rgb(0,113,227)","⚠"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.14:1 (need 4.5:1) — rgb(173,80,0) on rgb(0,113,227)","Expert"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.00:1 (need 4.5:1) — rgb(0,113,227) on rgb(0,113,227)","Uncommon"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > div","Contrast ratio 1.02:1 (need 4.5:1) — rgb(117,117,120) on rgb(0,113,227)","VP, Global Strategy, GM CAB & Futurist · Co-Founder/Chief Pi"
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 3.58:1 (need 4.5:1) — rgb(29,29,31) on rgb(0,113,227)","Customer Relationship Management (CRM)"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.14:1 (need 4.5:1) — rgb(173,80,0) on rgb(0,113,227)","★"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.11:1 (need 4.5:1) — rgb(178,80,0) on rgb(0,113,227)","⚠"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.14:1 (need 4.5:1) — rgb(173,80,0) on rgb(0,113,227)","Expert"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.00:1 (need 4.5:1) — rgb(0,113,227) on rgb(0,113,227)","Uncommon"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > div","Contrast ratio 1.02:1 (need 4.5:1) — rgb(117,117,120) on rgb(0,113,227)","VP, Global Strategy, GM CAB & Futurist · Co-Founder/Chief Pi"
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 3.58:1 (need 4.5:1) — rgb(29,29,31) on rgb(0,113,227)","Experienced Speaker"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.14:1 (need 4.5:1) — rgb(173,80,0) on rgb(0,113,227)","★"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.01:1 (need 4.5:1) — rgb(155,89,182) on rgb(0,113,227)","✨"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.14:1 (need 4.5:1) — rgb(173,80,0) on rgb(0,113,227)","Expert"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.00:1 (need 4.5:1) — rgb(0,113,227) on rgb(0,113,227)","Uncommon"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.00:1 (need 4.5:1) — rgb(155,89,182) on rgb(155,89,182)","Inferred"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > div","Contrast ratio 1.02:1 (need 4.5:1) — rgb(117,117,120) on rgb(0,113,227)","VP, Global Strategy, GM CAB & Futurist · Co-Founder/Chief Pi"
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 3.58:1 (need 4.5:1) — rgb(29,29,31) on rgb(0,113,227)","Futurist"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.14:1 (need 4.5:1) — rgb(173,80,0) on rgb(0,113,227)","★"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.11:1 (need 4.5:1) — rgb(178,80,0) on rgb(0,113,227)","⚠"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.14:1 (need 4.5:1) — rgb(173,80,0) on rgb(0,113,227)","Expert"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.00:1 (need 4.5:1) — rgb(0,113,227) on rgb(0,113,227)","Uncommon"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > div","Contrast ratio 1.02:1 (need 4.5:1) — rgb(117,117,120) on rgb(0,113,227)","VP, Global Strategy, GM CAB & Futurist · Vice President, Glo"
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 3.58:1 (need 4.5:1) — rgb(29,29,31) on rgb(0,113,227)","GenAI"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.14:1 (need 4.5:1) — rgb(173,80,0) on rgb(0,113,227)","★"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.11:1 (need 4.5:1) — rgb(178,80,0) on rgb(0,113,227)","⚠"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.14:1 (need 4.5:1) — rgb(173,80,0) on rgb(0,113,227)","Expert"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.00:1 (need 4.5:1) — rgb(0,113,227) on rgb(0,113,227)","Uncommon"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > div","Contrast ratio 1.02:1 (need 4.5:1) — rgb(117,117,120) on rgb(0,113,227)","VP, Global Strategy, GM CAB & Futurist"
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 3.58:1 (need 4.5:1) — rgb(29,29,31) on rgb(0,113,227)","Instrument Rated Pilot"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.14:1 (need 4.5:1) — rgb(173,80,0) on rgb(0,113,227)","★"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.11:1 (need 4.5:1) — rgb(178,80,0) on rgb(0,113,227)","⚠"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.14:1 (need 4.5:1) — rgb(173,80,0) on rgb(0,113,227)","Expert"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.00:1 (need 4.5:1) — rgb(0,113,227) on rgb(0,113,227)","Uncommon"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > div","Contrast ratio 1.02:1 (need 4.5:1) — rgb(117,117,120) on rgb(0,113,227)","Co-Founder/Chief Pilot"
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 3.58:1 (need 4.5:1) — rgb(29,29,31) on rgb(0,113,227)","International Touring"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.14:1 (need 4.5:1) — rgb(173,80,0) on rgb(0,113,227)","★"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.01:1 (need 4.5:1) — rgb(155,89,182) on rgb(0,113,227)","✨"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.14:1 (need 4.5:1) — rgb(173,80,0) on rgb(0,113,227)","Expert"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.00:1 (need 4.5:1) — rgb(0,113,227) on rgb(0,113,227)","Uncommon"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.00:1 (need 4.5:1) — rgb(155,89,182) on rgb(155,89,182)","Inferred"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > div","Contrast ratio 1.02:1 (need 4.5:1) — rgb(117,117,120) on rgb(0,113,227)","Touring/Studio Musician"
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 3.58:1 (need 4.5:1) — rgb(29,29,31) on rgb(0,113,227)","Machine Learning"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.14:1 (need 4.5:1) — rgb(173,80,0) on rgb(0,113,227)","★"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.01:1 (need 4.5:1) — rgb(155,89,182) on rgb(0,113,227)","✨"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.14:1 (need 4.5:1) — rgb(173,80,0) on rgb(0,113,227)","Expert"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.00:1 (need 4.5:1) — rgb(0,113,227) on rgb(0,113,227)","Uncommon"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.00:1 (need 4.5:1) — rgb(155,89,182) on rgb(155,89,182)","Inferred"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > div","Contrast ratio 1.02:1 (need 4.5:1) — rgb(117,117,120) on rgb(0,113,227)","VP, Global Strategy, GM CAB & Futurist · Vice President, Glo"
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 3.58:1 (need 4.5:1) — rgb(29,29,31) on rgb(0,113,227)","Multimedia"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.14:1 (need 4.5:1) — rgb(173,80,0) on rgb(0,113,227)","★"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.11:1 (need 4.5:1) — rgb(178,80,0) on rgb(0,113,227)","⚠"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.14:1 (need 4.5:1) — rgb(173,80,0) on rgb(0,113,227)","Expert"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.00:1 (need 4.5:1) — rgb(0,113,227) on rgb(0,113,227)","Uncommon"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > div","Contrast ratio 1.02:1 (need 4.5:1) — rgb(117,117,120) on rgb(0,113,227)","VP, Global Strategy, GM CAB & Futurist · Touring/Studio Musi"
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 3.58:1 (need 4.5:1) — rgb(29,29,31) on rgb(0,113,227)","Percussion Performance"
